question,document
Can I join the course late if I just found out about it?,74eb249bbf
"If I start the course now, is it still okay to participate?",74eb249bbf
Do I have to finish everything before a certain deadline to get a certificate?,74eb249bbf
Can I still get a certificate if I join after the course has already started?,74eb249bbf
What’s the deadline for submitting the project if I want the certificate?,74eb249bbf
"I signed up for the LLM Zoomcamp, but I never got a confirmation email — should I wait for one or am I already in?",977bf7786c
Do I need to register first before I can start the LLM Zoomcamp lessons and homework submissions?,977bf7786c
"Is there some approved student list for the LLM Zoomcamp, or can anyone just begin while the form is still open?",977bf7786c
What’s the point of registration for the LLM Zoomcamp if it doesn’t affect access to the course?,977bf7786c
Can I start doing the LLM Zoomcamp homework without getting any email confirmation after signing up?,977bf7786c
Where can I watch the Office Hours or live workshop stream if I’m a student?,489dd1c9d9
"Do students get the Zoom link for the live session, or is it only for the teaching staff?",489dd1c9d9
How do I send questions during the Office Hours if I’m watching on YouTube Live?,489dd1c9d9
Will the live stream link for the workshop be shared somewhere before it starts?,489dd1c9d9
"Should I ask questions in the chat during the session, or is there a better place to post them?",489dd1c9d9
"Where should I begin if I’m just starting this course, and what are the main links I should check first?",04919992b3
"What’s the usual way to work through a week in LLM Zoomcamp, from videos to homework submission?",04919992b3
"Can I start the course anytime, or do I need to wait for a specific date or schedule?",04919992b3
"Do I need to follow the course videos exactly before doing the notebooks and homework, or can I jump around?",04919992b3
"How does the homework usually relate to the lesson itself, and is it based on the same dataset?",04919992b3
How do I find my own entry on the leaderboard if I can't spot my name right away?,c2903069a0
"Why does the leaderboard show a random name for me, and can I change it?",c2903069a0
Where can I check what my displayed nickname is in the course profile?,c2903069a0
"If I want a different name on the certificate, which profile field do I need to edit?",c2903069a0
Do I have to use my legal name in the profile so the certificate doesn't show the default random name?,c2903069a0
Can I study the course at my own pace and still qualify for the certificate later?,69d122f12e
"Do I need to do all homework to get the course certificate, or is the final project enough?",69d122f12e
"If I go through the lessons in self-paced mode, what still has to be done during a live cohort to earn the certificate?",69d122f12e
"Is the certificate available for people who never join a live cohort, or only for live cohort participants?",69d122f12e
Can I prepare the capstone project on my own first and then submit it when the live cohort opens?,69d122f12e
"If I skipped the first homework, can I still get the course certificate, or is homework required?",9f689c185f
"Do I have to do all the homework to earn a certificate, or is the Capstone project enough?",9f689c185f
Can I miss homework and still get certified in this course?,9f689c185f
What do I actually need to pass in order to get the certificate?,9f689c185f
"Are homework assignments mandatory for the certificate, or are they just for practice and leaderboard points?",9f689c185f
Why does the homework content keep changing while I'm trying to do it?,96286b4be4
How do I know if a homework assignment is actually ready and not still being edited?,96286b4be4
What does it mean when the homework title has [DRAFT] in it?,96286b4be4
"Can I start working on homework before the form is open, or is that risky?",96286b4be4
When is it safe to assume the final homework version won't change anymore?,96286b4be4
When is the next time this course will be offered?,bd31146b0e
Do you know when the next run of the course starts?,bd31146b0e
Is there a date for the upcoming course offering?,bd31146b0e
When can I expect this course to be available again?,bd31146b0e
What’s the next scheduled session for this course?,bd31146b0e
Where can I find the course lectures or videos for LLM Zoomcamp?,31456f4b5f
Is there a main place I should check first for the lesson videos?,31456f4b5f
Do the lesson pages have the videos linked somewhere on them?,31456f4b5f
Should I use the GitHub repo or the YouTube playlist to find the latest course videos?,31456f4b5f
How do I get to the videos from the lesson folders in the course repo?,31456f4b5f
How do I keep track of the LLM Zoomcamp syllabus and deadlines in one place?,20c5a1347e
"Is there a course site where I can see the homework, progress, and current cohort structure?",20c5a1347e
