question,document
"I just found this course, is it too late to join?",74eb249bbf
Can I still sign up even if the course already started?,74eb249bbf
"If I join now, can I still get a certificate somehow?",74eb249bbf
What do I need to do to be eligible for the certificate if I’m late to the course?,74eb249bbf
"Are late joiners allowed, and does that affect project submission for the certificate?",74eb249bbf
"I signed up for the LLM Zoomcamp, but I never got a confirmation email — is that a problem?",977bf7786c
Do I need to wait for an acceptance or confirmation message before I can start the course?,977bf7786c
"Is registration required to access the lessons and submit homework, or can I just begin right away?",977bf7786c
Will my homework submissions be checked against some list of registered students?,977bf7786c
Why do you ask people to register if we can already start learning and turning in homework?,977bf7786c
Where do I watch the live office hours or workshop stream if I’m a student?,489dd1c9d9
"Is the Zoom link for office hours shared with everyone, or only with the course team?",489dd1c9d9
How do students ask questions during the live sessions if they can’t use the Zoom room?,489dd1c9d9
Where is the livestream URL posted before an office hours session starts?,489dd1c9d9
"Can I just ask my questions in the live chat during office hours, or is there another place to send them?",489dd1c9d9
"Where do I begin if I want to follow the course properly, and what should I check first?",04919992b3
What's the usual weekly routine for this course after watching the lessons?,04919992b3
"Do I have to start the course on a specific date, or can I jump in anytime?",04919992b3
"After I finish the videos and notebooks, what’s the next step for homework submission?",04919992b3
"Is the homework basically the same as the lesson exercises, or is it a bit different?",04919992b3
I can’t find myself on the leaderboard — how do I jump to my own entry?,c2903069a0
"Why does my leaderboard name look random, and can I change that display name?",c2903069a0
Where do I check what name is being shown for me in the course leaderboard?,c2903069a0
"If I want a different nickname on the leaderboard, which profile field should I edit?",c2903069a0
How do I make sure my certificate shows my real name instead of the default random one?,c2903069a0
"Can I just go through the course on my own and still get the certificate, or do I have to join a live cohort?",69d122f12e
"If I study the material self-paced and build the project later, can I still qualify for the certificate?",69d122f12e
What do I actually need to complete to earn the certificate for this course?,69d122f12e
"Are homework assignments part of the certificate requirements, or is the capstone project enough?",69d122f12e
"Can I prepare everything in advance, and then submit the project and do peer reviews when the live cohort is open?",69d122f12e
"If I skipped the first homework, am I still eligible for the certificate?",9f689c185f
Do I have to do all the homework to get the course certificate?,9f689c185f
"Is the Capstone project enough for earning the certificate, even if I missed homework?",9f689c185f
"Are homework assignments required, or are they just for practice and leaderboard points?",9f689c185f
What do I need to pass in order to receive the certificate?,9f689c185f
Why does this homework keep changing after I start it?,96286b4be4
What does it mean when the homework title has [DRAFT] in it?,96286b4be4
How can I tell if the assignment is actually ready to do?,96286b4be4
Is it safe to start working on homework before it’s officially open?,96286b4be4
Can the final homework version still be different even if I already saw it once?,96286b4be4
When is the next llm-zoomcamp session starting?,bd31146b0e
Do you know when this course will be offered again?,bd31146b0e
What’s the next run date for the course?,bd31146b0e
Is there a plan for the course to come back in summer 2027?,bd31146b0e
When can students expect the next offering of this course?,bd31146b0e
Where do I find the course lectures and video links?,31456f4b5f
Is there a main place to start if I want the lesson videos?,31456f4b5f
I can’t find the recordings for each lesson — where are they posted?,31456f4b5f
Should I use the GitHub repo or the YouTube playlist to get the latest course videos?,31456f4b5f
"On the course site, where are the videos linked for each lesson?",31456f4b5f
Where do I check the LLM Zoomcamp syllabus and all the deadlines?,20c5a1347e
Is there a single place to follow the course progress and homework for this zoomcamp?,20c5a1347e
What platform should I use to keep track of the current cohort structure and assignments?,20c5a1347e
How do I see the deadlines and progress updates for LLM Zoomcamp in one place?,20c5a1347e
"Where is the course management site for this Zoomcamp, like for the other DataTalks.Club courses?",20c5a1347e
"Does this course have live sessions for every module, or are the lessons just recorded?",d65e05bd7a
"How do I get help if I’m stuck on a module—should I use Slack, or are there office hours?",d65e05bd7a
"Are the live meetings for the course scheduled in advance somewhere, or only announced when they happen?",d65e05bd7a
What’s the best way to ask questions in Slack so I don’t do it wrong?,d65e05bd7a
Is there any paid option with regular Zoom office hours and extra support for this course?,d65e05bd7a
Can I count Bluesky posts toward my learning in public credits?,dbf5369006
