question,answer_llm,answer_orig,document
"I just found this course, is it too late to join?","Yes, you can still join. If you want a certificate, make sure to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I still sign up even if the course already started?,I don't know.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join now, can I still get a certificate somehow?","Yes — if you join now, you can still get a certificate **only if** you submit your project while a **live cohort is still accepting submissions**. You can work through the course in self-paced mode, but the **certificate requires**:

- finishing the **capstone project**
- completing the **required peer reviews**
- doing both while the live cohort is open

Homework is **not required** for the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to be eligible for the certificate if I’m late to the course?,"If you’re late to the course, you can still get the certificate as long as you:

- submit your capstone project while the live cohort is still accepting submissions, and
- complete the required peer reviews.

Homework is not required for the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Are late joiners allowed, and does that affect project submission for the certificate?","Yes, late joiners can catch up, but the certificate only counts if you finish with a live cohort.

You can work through the material in self-paced mode and prepare the capstone project, but:
- project submission must happen while a live cohort is accepting submissions, and
- you must also complete the required peer reviews.

If you miss the first submission window, you may still be able to submit in the second attempt window and still qualify, as long as you complete the peer-review requirement.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I signed up for the LLM Zoomcamp, but I never got a confirmation email — is that a problem?","No—that’s not a problem. You don’t need a confirmation email, and registration isn’t checked against a list. You’re accepted, and you can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I need to wait for an acceptance or confirmation message before I can start the course?,"No. You don’t need to wait for a confirmation or acceptance message — you’re accepted, and you can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is registration required to access the lessons and submit homework, or can I just begin right away?","You don’t need to register to begin. According to the course info, you can start learning and submit homework right away while the form is open, and it isn’t checked against any registered list. Registration is just to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Will my homework submissions be checked against some list of registered students?,No. It is not checked against any registered list. You can start learning and submitting homework while the form is open without registering.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Why do you ask people to register if we can already start learning and turning in homework?,"You don’t need to register to start learning or turning in homework. Registration is only to gauge interest before the start date, and it isn’t checked against any registered list. You’re accepted already.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Where do I watch the live office hours or workshop stream if I’m a student?,"Students can watch the live office hours/workshop stream on the DataTalksClub **YouTube Channel**. The stream URL is also posted in the **announcements channel on Telegram and Slack** before it starts, and the Slido link is pinned in chat when live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is the Zoom link for office hours shared with everyone, or only with the course team?","Only with the course team. The Zoom link is published to instructors/presenters/TAs, not shared publicly with everyone.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How do students ask questions during the live sessions if they can’t use the Zoom room?,"Students ask questions via **Slido** during live sessions. The Slido link is **pinned in the chat when the session is live**. They should **not post questions in the chat**, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where is the livestream URL posted before an office hours session starts?,The livestream URL is posted in the announcements channel on Telegram and Slack before the session starts.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I just ask my questions in the live chat during office hours, or is there another place to send them?","Yes — during office hours/live sessions, questions should be submitted via **Slido**, not directly in the live chat, because chat questions can be missed if the room is active.

For general questions outside live sessions, ask in **Slack** and follow the question guidelines.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where do I begin if I want to follow the course properly, and what should I check first?","Start with these three things:

1. The [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
2. The [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)
3. The [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)

Then follow the usual workflow:

- watch the lesson videos
- work through the lesson notebooks/code
- read the homework instructions on GitHub
- submit answers on the course platform before the deadline

If you want to be sure you’re following the course properly, the first thing to check is the course docs and the GitHub materials. The deadlines are listed on the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
What's the usual weekly routine for this course after watching the lessons?,"A typical weekly routine is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers through the course platform before the deadline.

","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
