question,document
"I just found this course — can I still join it, or is it too late?",74eb249bbf
"If I join now, will I still be able to get a certificate somehow?",74eb249bbf
Do I have to submit the project before submissions close to receive the certificate?,74eb249bbf
Am I allowed to start the course late and still be considered part of it?,74eb249bbf
What’s the deadline if I want to finish the project and get certified?,74eb249bbf
I signed up for the LLM Zoomcamp — when should I get the confirmation email?,977bf7786c
Do I actually need a registration confirmation to start the course and submit homework?,977bf7786c
"If I never got any email after registering, does that mean I’m not in?",977bf7786c
"Is course registration required, or can I just begin learning and turn in homework while the form is still open?",977bf7786c
What’s the point of registering if there isn’t a list being checked later?,977bf7786c
"How do I join the Office Hours or live workshop if I’m a student, since I can’t see the Zoom link?",489dd1c9d9
Where do I find the stream link for live sessions or workshops before they start?,489dd1c9d9
"If the Zoom link is only for instructors and TAs, what’s the student way to watch and ask questions during Office Hours?",489dd1c9d9
"Should I post my questions in the live chat during the workshop, or is there a better place to send them?",489dd1c9d9
Is the session video available somewhere like YouTube or Telegram if I miss the announcement?,489dd1c9d9
What's the best way to begin the LLM Zoomcamp and what should I read first?,04919992b3
"Do I need to follow a fixed start date, or can I jump into the course anytime?",04919992b3
"What’s the usual weekly routine for watching lessons, coding notebooks, and doing homework?",04919992b3
Where do I find the deadlines and submit my homework for this course?,04919992b3
"Is the homework basically the same as the lessons, or does it use different data/tasks?",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name there?,c2903069a0
Why does the leaderboard show a weird random name instead of my real one?,c2903069a0
Where can I check what my displayed name is in the course profile?,c2903069a0
How do I change the name that others see for me in the course?,c2903069a0
What should I put in my profile so my certificate uses my official name instead of the default nickname?,c2903069a0
Can I take this course at my own pace and still earn the certificate later?,69d122f12e
"If I study the lessons in self-paced mode, will that count toward getting certified?",69d122f12e
What do I actually need to complete for the certificate besides homework?,69d122f12e
Do capstone project submission and peer reviews have to be done during a live cohort?,69d122f12e
Is there any way to get the certificate without joining a live cohort?,69d122f12e
"Can I still get the certificate if I missed the first homework, or is homework required?",9f689c185f
Do I have to complete every homework to receive the course certificate?,9f689c185f
What do I need to pass in order to get the certificate if homework isn't mandatory?,9f689c185f
"If I skip a homework assignment, does that prevent me from earning the certificate?",9f689c185f
"Does the certificate depend on homework scores, or is passing the Capstone project enough?",9f689c185f
Why does the homework keep changing while I'm trying to work on it?,96286b4be4
What does [DRAFT] in a homework title actually mean?,96286b4be4
How can I tell if a homework assignment is ready to start?,96286b4be4
Is it safe to begin the homework before the final version is out?,96286b4be4
Can the homework content still change after it appears on the course platform?,96286b4be4
When is the next run of the course planned for?,bd31146b0e
Do you know when this course will be offered again?,bd31146b0e
Is there a scheduled upcoming session for the course?,bd31146b0e
What time of year is the course expected to return?,bd31146b0e
When can I expect the next course offering?,bd31146b0e
Where can I find the course videos for each lesson?,31456f4b5f
Is there a main page or repo I should use to get to the lectures?,31456f4b5f
"Do the lesson folders include the video links, or do I need to search somewhere else?",31456f4b5f
Should I follow the GitHub repo or the YouTube playlist for the latest course videos?,31456f4b5f
How do I find the lectures for a specific lesson in LLM Zoomcamp?,31456f4b5f
"Is there a place where I can see the LLM Zoomcamp syllabus, homework deadlines, and my progress in one spot?",20c5a1347e
How do I keep track of the current cohort structure and due dates for assignments in LLM Zoomcamp?,20c5a1347e
What website should I use to follow the course plan and check my progress during the zoomcamp?,20c5a1347e
Does LLM Zoomcamp have a course platform for homework and deadline tracking like the other DataTalks.Club courses?,20c5a1347e
Where can I find the official management page for LLM Zoomcamp to monitor the syllabus and deadlines?,20c5a1347e
"Does every module have its own live class or office hour, or are the lessons just recorded?",d65e05bd7a
"If I get stuck on a module, where should I ask for help and what’s the right way to do it?",d65e05bd7a
How do I know when any live sessions are happening for this course?,d65e05bd7a
Is there an optional paid community with regular Zoom office hours for extra support?,d65e05bd7a
Are the main course materials free even if I don’t join the extra support group?,d65e05bd7a
Can I count my Bluesky posts toward learning in public credits?,dbf5369006
Are Bluesky updates accepted for the public learning credit requirement?,dbf5369006
"If I share my progress on Bluesky, does that qualify for course credits?",dbf5369006
Is posting on Bluesky enough to get learning in public credit?,dbf5369006
Does the course allow Bluesky as a platform for learning in public credits?,dbf5369006
What’s the Telegram link for LLM Zoomcamp?,054f3fd58f
Where can I find the LLM Zoomcamp Telegram channel?,054f3fd58f
Is there a Telegram group or channel for course announcements?,054f3fd58f
Should I ask technical questions in the Telegram channel or somewhere else?,054f3fd58f
What channel do I use for LLM Zoomcamp announcements and where do I ask course questions?,054f3fd58f
Why is my FAQ count different from the one shown in the videos?,e2d595f23c
I ran the code and got a different number of records than in the lesson — is that expected?,e2d595f23c
"Does the FAQ dataset change over time, and could that explain why my results don't match the videos?",e2d595f23c
Why do I see more or fewer FAQ entries than what the course recording shows?,e2d595f23c
"If the FAQ data is live, why isn't the record count the same as in the May 2026 videos?",e2d595f23c
Can I still turn in the homework if the deadline already passed but the form is still open?,a9353fadfe
Does the listed deadline matter if the submission page hasn’t been closed yet?,a9353fadfe
"If I missed the due date, is it still okay to submit while the form is open?",a9353fadfe
When does homework submission actually close — at the deadline or only when the form gets shut?,a9353fadfe
I’m seeing the homework form still available after the deadline; can I submit my answers now?,a9353fadfe
Can I still turn in homework if the deadline already passed but the form is open?,cdc3b285e5
Do you ever give deadline extensions for homework submissions?,cdc3b285e5
What happens if I miss a homework in this course — does it stop me from getting the certificate?,cdc3b285e5
Are late homework submissions accepted after the submission form closes?,cdc3b285e5
"Does homework count for the certificate, or is it only used for the leaderboard?",cdc3b285e5
"Is the name I enter for the certificate visible to everyone online, or is it kept private?",651ba06b34
"Does the certificate name get shared with anyone else, like third parties or the public leaderboard?",651ba06b34
What name shows up on the leaderboard — the certificate name or a separate nickname?,651ba06b34
Can I use one name for the public profile and a different one for the certificate?,651ba06b34
Where do I change the leaderboard nickname and the official certificate name in my course profile?,651ba06b34
Why don't we use LangChain in this course right away?,b7cdde6b25
Is there a reason the course makes us build the RAG parts ourselves instead of using a framework?,b7cdde6b25
Wouldn't it be easier to start with LangChain for LLM apps?,b7cdde6b25
"What is the point of learning prompting, retrieval, indexing, and evaluation before a framework?",b7cdde6b25
Do I need to know the basics first before using LangChain or similar tools?,b7cdde6b25
Why do I get an OpenAI API Error: Insufficient credits when I run responses.create?,f5df151c59
How can I fix the error that shows up with OpenAI responses.create about insufficient credits?,f5df151c59
Is the responses.create command failing because my OpenAI account has no credits left?,f5df151c59
What does the OpenAI API Error: Insufficient credits mean in the responses.create call?,f5df151c59
Why am I getting a credit-related error from OpenAI when using responses.create in my RAG project?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI when I run my code?,152af39a53
"Does OpenAI API have any free quota, or do I need to add billing first?",152af39a53
How can I fix the 'insufficient_quota' error in my API account?,152af39a53
"After I add credits, do I need to change the model name in responses.create?",152af39a53
Do I have to create a new API key after enabling pay-as-you-go?,152af39a53
How much money do I need to start using the OpenAI API for this course?,554d0eb78b
Is it expensive to use the OpenAI API in the RAG module?,554d0eb78b
Do I need to add a lot of credit before I can try the OpenAI API?,554d0eb78b
What’s the minimum amount I can top up my OpenAI account with?,554d0eb78b
Will I end up spending more than a few cents when using the OpenAI API for the course?,554d0eb78b
Do I need to pay for the OpenAI API to finish the homework in this course?,85384a18e5
Is an OpenAI subscription required for the LLM Zoomcamp assignments?,85384a18e5
Can I skip paying for OpenAI and still complete the course work?,85384a18e5
Are there free or cheaper options instead of the OpenAI API for this course?,85384a18e5
Where can I find the list of OpenAI API alternatives for the course?,85384a18e5
Why does the course use uv instead of pip and virtualenv for setup?,f81dea8f7e
What’s the main advantage of using uv in the course projects?,f81dea8f7e
Can I still use pip and virtualenv if I don’t want to install uv?,f81dea8f7e
"What tools does uv replace, and why is that useful?",f81dea8f7e
"Is uv required for the course, or is it just the recommended option?",f81dea8f7e
"Why does my Jupyter notebook not see OPENAI_API_KEY, even though I added it to my .env file?",86d99bbf21
Do I need python-dotenv for the API key to work in the notebook?,86d99bbf21
What should I run in Jupyter before creating the OpenAI client so it picks up my env vars?,86d99bbf21
I set the key in .env but it still says not found — is the variable name supposed to be OPENAI_API_KEY exactly?,86d99bbf21
How do I load the .env file inside a notebook so OpenAI authentication works?,86d99bbf21
How do I keep my OpenAI or Groq API key in a .env file and read it in Python?,233dabe430
What’s the easiest way to load environment variables from .env for a RAG project?,233dabe430
Do I need to add .env to gitignore when storing API keys locally?,233dabe430
How can I use python-dotenv to access OPENAI_API_KEY and GROQ_API_KEY in my script?,233dabe430
What should a basic .env setup look like for API keys in the course?,233dabe430
"Can I swap the homework model for OpenAI, Gemini, Groq, or something else, or do I have to use the one in the assignment?",ee43413718
"Is the suggested model in the RAG homework mandatory, or can I pick another provider like Azure OpenAI or OpenRouter?",ee43413718
"Do I need a paid API to finish the homework, or can I use a local model instead?",ee43413718
"If I use a different LLM provider for the assignment, what parts of the code usually need changes?",ee43413718
Where can I find a list of alternative LLM APIs or providers for this course?,ee43413718
How can I plug Gemini into the Module 1 notebook using the OpenAI-compatible URL?,0ae5c221b9
What do I need in my .env and client setup before calling Gemini from the course notebook?,0ae5c221b9
How do I write an llm helper for Google Gemini when using OpenAI chat completions?,0ae5c221b9
"Which Gemini model name should I pass in the notebook request, and where does it go?",0ae5c221b9
Why does the course notebook need changes if I use the older chat completions endpoint instead of Responses?,0ae5c221b9
How do I get Pydantic structured output from Gemini if `responses.parse` is not supported on the OpenAI-compatible endpoint?,341f71f28c
What’s the easiest way to make Gemini return a Pydantic model when I’m using the OpenAI SDK and chat completions?,341f71f28c
"Can I use `chat.completions.parse` with Gemini through the OpenAI-compatible URL, and how would that look?",341f71f28c
How should I define the schema so Gemini gives me a list of FAQ items as parsed objects instead of raw JSON?,341f71f28c
Is there a way to get `response.choices[0].message.parsed` from Gemini without manually decoding the output?,341f71f28c
"How do I install Ollama on macOS, Windows, or Linux, and what are the steps after the install?",1d0b969028
"After I install Ollama, what command should I run to start a local model and chat with it?",1d0b969028
How can I check if the Ollama server is actually running on my machine?,1d0b969028
What package do I need for Python if I want to call Ollama from code?,1d0b969028
Can you show a tiny Python example for sending a prompt to Ollama and printing the reply?,1d0b969028
"Why am I getting a connection refused error when I prompt my Ollama RAG setup, and how do I fix it?",c6fc2d4d11
"Do I need to restart the Ollama server if the notebook stops, and what command should I use?",c6fc2d4d11
My homework RAG task throws connection refused with Ollama — is there a quick restart step for that?,c6fc2d4d11
"After restarting the notebook, do I need to run the Ollama serve cell again to avoid the error?",c6fc2d4d11
What should I do if Ollama isn’t responding in the RAG exercise and I keep seeing connection refused?,c6fc2d4d11
Why does `tiktoken.encode()` give me a smaller number than the token count shown by OpenAI in chat completions?,bf0403d21b
"In a `chat.completions.create()` request, what extra tokens does OpenAI add behind the scenes that I don’t see in my prompt text?",bf0403d21b
"Could newlines, spaces, or weird Unicode characters be the reason my token total doesn’t match OpenAI’s report?",bf0403d21b
"How many formatting tokens are added for each chat message, and why does the API also add a couple more globally?",bf0403d21b
"If my prompt text is 320 tokens locally, why can OpenAI show something like 327 tokens for the same request?",bf0403d21b
How can I set my API key once so I don’t have to export it again in every terminal?,8b2f5e9d04
Is there a tool like direnv that works with both .env and .envrc and is more portable?,8b2f5e9d04
What’s the easiest way to auto-load OPENAI_API_KEY when I cd into a project folder?,8b2f5e9d04
"Do I need to keep .env or .envrc out of GitHub, and what should I add to .gitignore?",8b2f5e9d04
"If I’m using Python scripts or Codespaces, what’s the right way to handle the secret there?",8b2f5e9d04
What's the best way to decide field weights in minsearch or a similar search engine?,87d4ea4e08
"Should I just tweak weights by hand, or is there a better method to pick them?",87d4ea4e08
How do I evaluate different field weighting settings for retrieval quality?,87d4ea4e08
Do I need a labeled dataset to tune search field weights properly?,87d4ea4e08
What metrics should I look at when testing different weight combinations?,87d4ea4e08
How do I clean my docs before using them in a RAG pipeline?,649c280e6d
What should I remove and what should I keep when preparing text for retrieval?,649c280e6d
"Do I need to store RAG data in JSON, or can I use another format?",649c280e6d
What’s the best way to chunk documents so the context doesn’t get messed up?,649c280e6d
"Should I keep metadata like titles, dates, or page numbers for RAG search?",649c280e6d
I keep seeing “Failed to hardlink files” in GitHub Codespaces when using uv — is that actually a problem or can I ignore it?,acf8fa5356
"Does uv still install packages if it can’t hardlink in Codespaces, or does the setup break?",acf8fa5356
How can I stop uv from showing the hardlink warning just for my current terminal session?,acf8fa5356
What’s the easiest way to make uv use copy mode every time I open a new shell in Codespaces?,acf8fa5356
Is there a recommended uv setting for Codespaces when hardlinks aren’t available between the cache and the environment?,acf8fa5356
How do I fix the error when `dotenv` is not recognized in my setup?,0bed1f48da
What package do I need to install if Python can't find `dotenv`?,0bed1f48da
Should I use `python-dotenv` or something else for loading `.env` files?,0bed1f48da
What's the command to add the dotenv library with `uv`?,0bed1f48da
"After installing the package, how do I load environment variables in Python?",0bed1f48da
Can I do this course on my own laptop instead of using Codespaces?,aa310de435
"Is Codespaces required, or just the simplest option for getting started?",aa310de435
"If I skip Codespaces and set everything up locally, what tools do I need?",aa310de435
Can I work through the module from a local environment as long as it’s reproducible?,aa310de435
Do I need to keep notes on my local setup if I don’t use the shared environment?,aa310de435
"If I keep working in Codespaces but don’t commit, is my code still saved anywhere, and where exactly does it live?",610ccb23c0
What happens to my Codespaces changes if the VM stops or the workspace gets deleted before I commit?,610ccb23c0
Do I need to commit often in Codespaces even though the files are already inside the Linux VM?,610ccb23c0
"Is code in Codespaces automatically backed up to my GitHub repo, or only after I commit it?",610ccb23c0
Why do I need to commit my work in Codespaces if the environment already stores the files locally?,610ccb23c0
Why does WSL2 say the model needs more memory even though my PC has enough RAM?,f3dd94f323
How do I change the RAM limit that WSL2 is actually using?,f3dd94f323
Where should I put the .wslconfig file to give WSL2 more memory?,f3dd94f323
What do I need to add to .wslconfig if I want WSL2 to use 8GB of RAM?,f3dd94f323
"After changing WSL2 memory settings, how can I make sure the new limit took effect?",f3dd94f323
"My Codespace is stuck on ""Finishing up"" and never opens — what should I try first?",830f3d2018
"If GitHub Codespaces won’t reconnect, is there a browser workaround or do I need to recreate it?",830f3d2018
"Why did my setup disappear after a rebuild or new Codespace, even though my repo was there before?",830f3d2018
"Do files in `/workspaces` survive stop/start in Codespaces, or can they get wiped too?",830f3d2018
What should I do to avoid losing my work when Codespaces is acting flaky or I have to delete it?,830f3d2018
"Is OpenAI actually required for the RAG homework, or can I plug in another LLM service instead?",c6ff9083c0
"If the course provider is blocked where I live, what are the easiest alternatives I can use with the same code?",c6ff9083c0
"Do I need to rewrite the whole notebook if I want to use Groq, OpenRouter, Gemini, or another OpenAI-like API?",c6ff9083c0
What are my options if I want to run the model locally with Ollama or vLLM instead of calling an external API?,c6ff9083c0
Where can I find a list of LLM providers and local model tools that work well with this course?,c6ff9083c0
How can I stop getting 429 errors from OpenAI when I run the notebooks a lot?,8e21752415
"What’s the best way to deal with OpenAI rate limits in the RAG homework, especially when looping over many docs?",8e21752415
Should I use retries or just lower the number of requests if my OpenAI calls keep failing with rate limit errors?,8e21752415
How do I make reruns of the notebook not call OpenAI again for the same embeddings or answers?,8e21752415
Is there a cheap/free model or provider I can use so I don’t hit the request limits so fast?,8e21752415
