question,answer_llm,answer_orig,document
"I just found this course late — can I still join in, or is it too late to start?","Yes — you can still join. It’s not too late to start.

If you want a certificate, make sure you submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I sign up now, is it still possible to get a certificate later?","Yes — but only if you finish the course with a live cohort.

You can join now and work through the material in self-paced mode, but to get the certificate you must:
- submit your capstone project while the course is still accepting submissions, and
- complete the required peer reviews.

Homework is not required for the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to be eligible for the certificate if I’m joining after the course started?,"If you join after the course has started, you can still get the certificate, but only if you:

- submit your capstone project while the live cohort is still accepting submissions, and
- complete the required peer reviews, and
- finish the course with a live cohort.

Homework is not required for the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is there a deadline for submitting the project if I want the certificate?,"Yes. To get the certificate, you need to submit the capstone project while the live cohort is still accepting submissions. Homework is not required, but project submission and the required peer reviews must happen before the cohort closes.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Can late joiners still take part in the course, and what’s the catch for certification?","Yes — late joiners can still take part in the course.

The catch is that if you want a certificate, you must submit your capstone project while the course is still accepting submissions, and you also need to complete the required peer reviews. Homework isn’t required for certification.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I signed up for the LLM Zoomcamp, but I still didn’t get any confirmation email — is that normal?","No — that’s normal. You don’t need a confirmation email; you’re accepted. You can start learning and submitting homework while the form is open, and registration is only used to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need to wait for a registration confirmation before I can start the course and submit homework?,"No. You don’t need to wait for a confirmation email. You’re accepted, and you can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I filled out the LLM Zoomcamp registration form, does that mean I’m officially accepted already?","Yes. You’re accepted — there’s no separate confirmation needed. Registration is just for gauging interest, and you can already start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is there some list of registered students for the course, or can anyone just begin learning and turning in homework while it’s open?",You can just start learning and submitting homework while the form is open. There is no checked registered-student list; registration is only to gauge interest before the start date.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What’s the point of registering for the LLM Zoomcamp if I can already start without any email reply?,"The point of registering is just to gauge interest before the start date.

You don’t need to wait for a confirmation email — you’re accepted, and you can already start learning and submitting homework while the form is open. Registration is not checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do students join the Office Hours or live workshop stream if the Zoom link isn’t shared publicly?,"Students join via **YouTube Live** rather than the Zoom link.

The Zoom link is only for instructors/presenters/TAs. For students, the stream URL is posted in the **announcements channel on Telegram and Slack** before it starts, and they can also watch on the **DataTalksClub YouTube Channel**. Questions should be submitted via **Slido** (pinned in chat when live).","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where should I look for the live session video link before an Office Hours starts?,Look for the video URL in the **announcements channel on Telegram and Slack** before it begins. You can also watch it live on the **DataTalksClub YouTube channel**.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I ask questions in the chat during the live workshop, or is there another place to submit them?","Students should not post questions in the chat, because they may be missed if the room is active.

Instead, submit questions to **Slido** during the live workshop — the Slido link is **pinned in the chat when live**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is the Zoom URL for the workshop available to students, or only to the teaching team?","The Zoom link is only published to the instructors/presenters/TAs, not to students. Students join via YouTube Live and can ask questions through Slido.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What’s the best way for a student to watch the live session and ask questions during Office Hours?,"The best way is to watch the live session on **YouTube Live** and ask questions through **Slido**.

- The **video link** is posted in the **announcements channel on Telegram and Slack** before the session starts.
- You can also watch on the **DataTalksClub YouTube channel**.
- The **Slido link** is pinned in the chat when the session is live.
- Don’t post questions in the chat, since they may be missed if the room is busy.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
