question,answer_llm,answer_orig,document
Can I join the course late if I just found out about it?,"Yes — you can still join late. If you just discovered the course, you can start learning now, but if you want a certificate, make sure you submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I start the course now, is it still okay to participate?","Yes, you can start whenever you want and it’s still okay to participate. The videos and GitHub materials are available, and you can begin the course now.

If you want a certificate, make sure to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Do I have to finish everything before a certain deadline to get a certificate?,I don't know.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I still get a certificate if I join after the course has already started?,"Yes — you can join after the course has started. But to get a certificate, you must submit your project while the live cohort is still accepting submissions, and complete the required peer reviews.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What’s the deadline for submitting the project if I want the certificate?,"If you want the certificate, you need to submit your capstone project while the live cohort is still accepting submissions. I don’t know the exact deadline from the context.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I signed up for the LLM Zoomcamp, but I never got a confirmation email — should I wait for one or am I already in?","You don’t need to wait for a confirmation email — you’re already in. Registration is just to gauge interest, and it isn’t checked against a registered list. You can start learning and submitting homework as long as the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I need to register first before I can start the LLM Zoomcamp lessons and homework submissions?,"No. You can start learning and submitting homework without registering, as long as the homework form is open. Registration is just to gauge interest and is not checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is there some approved student list for the LLM Zoomcamp, or can anyone just begin while the form is still open?","There is no approved student list. You can just start learning and submitting homework while the form is open, even if you didn’t register, and registration is only to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What’s the point of registration for the LLM Zoomcamp if it doesn’t affect access to the course?,"Registration is just to gauge interest before the start date. It doesn’t affect access to the course, and you can start learning and submitting homework even without it while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I start doing the LLM Zoomcamp homework without getting any email confirmation after signing up?,"Yes. You don’t need an email confirmation to start learning or submitting homework. You’re accepted, and registration is just to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Where can I watch the Office Hours or live workshop stream if I’m a student?,"If you’re a student, you can watch the Office Hours or live workshop stream on **YouTube Live** via the **DataTalksClub YouTube channel**. The video URL is also posted in the **announcements channel on Telegram and Slack** before the session starts.

You can submit questions through **Slido** when the stream is live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Do students get the Zoom link for the live session, or is it only for the teaching staff?","Students do **not** get the Zoom link. The Zoom link is published only to **instructors/presenters/TAs**.

Students should join via **YouTube Live**, and ask questions through **Slido**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How do I send questions during the Office Hours if I’m watching on YouTube Live?,"Students participate via YouTube Live and submit questions to **Slido** — the link is **pinned in the chat when the session is live**. Don’t post questions in the YouTube chat, because they may be missed if the room is very active.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Will the live stream link for the workshop be shared somewhere before it starts?,"Yes. The video URL should be posted in the announcements channel on Telegram and Slack before it begins, and you can also watch it live on the DataTalksClub YouTube channel.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Should I ask questions in the chat during the session, or is there a better place to post them?","Don’t post questions in the chat during the session, as they may be missed if the room is very active. Use **Slido** instead — its link is pinned in the chat when the session is live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where should I begin if I’m just starting this course, and what are the main links I should check first?","Start with these first:

1. **LLM Zoomcamp docs**  
   https://datatalks.club/docs/courses/llm-zoomcamp/

2. **General Zoomcamp logistics docs**  
   https://datatalks.club/docs/courses/zoomcamp-logistics/

3. **LLM Zoomcamp GitHub repository**  
   https://github.com/DataTalksClub/llm-zoomcamp

For **Module 1 in the 2026 cohort**, begin here:

- **Module 1 cohort materials**  
  https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag
- **Module 1 homework instructions**  
  https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md

Typical workflow:
1. Watch the lesson videos
2. Work through the notebooks/code
3. Read the homework instructions on GitHub
4. Submit answers on the course platform before the deadline

If something is unclear, check the **GitHub homework instructions first**, since they often include extra context beyond the course platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"What’s the usual way to work through a week in LLM Zoomcamp, from videos to homework submission?","A typical week in LLM Zoomcamp is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers on the course platform before the deadline.

Homework usually follows the lesson flow, but may use a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Can I start the course anytime, or do I need to wait for a specific date or schedule?","You can start whenever you want. The videos, GitHub materials, and homework are available, and the deadlines are listed on the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I need to follow the course videos exactly before doing the notebooks and homework, or can I jump around?","You can jump around — you do **not** need to follow the videos exactly in order before doing the notebooks and homework.

A typical workflow is:
1. Watch the lesson videos
2. Work through the lesson notebooks/code
3. Read the homework instructions on GitHub
4. Submit answers on the course platform

But the course materials are available, and you can start whenever you want.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"How does the homework usually relate to the lesson itself, and is it based on the same dataset?","Homework usually follows the same general lesson flow, but it often uses a different dataset or asks you to apply the same idea in a slightly different way.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my own entry on the leaderboard if I can't spot my name right away?,"Click the **“Jump to your record on the leaderboard”** link. When you create your account, you’re automatically given a random display name, so that link takes you straight to your own entry.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Why does the leaderboard show a random name for me, and can I change it?","The leaderboard shows a random name because, when your account is created, you’re automatically assigned an anonymous display name like “Lucid Elbakyan.”

Yes, you can change it:

- Click **Edit Course Profile**
- The **first field** is your public nickname/display name for the leaderboard
- The **second field** is your official name for your certificate

If you want, you can use your Slack username, GitHub username, or any other nickname for the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what my displayed nickname is in the course profile?,Click **“Edit Course Profile”**. The **first field** shows your **displayed nickname** for the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"If I want a different name on the certificate, which profile field do I need to edit?",Edit the **second field** in **“Edit Course Profile”** — that is the **official name printed on your certificate**.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Do I have to use my legal name in the profile so the certificate doesn't show the default random name?,"Yes — if you want to avoid the default random name on your certificate, you should enter your official/legal name in the **second field** of **Edit Course Profile**.  

The **first field** is for your public nickname/display name, which can stay random or be changed separately.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I study the course at my own pace and still qualify for the certificate later?,"Yes — you can work through the course in self-paced mode and prepare your project, but to qualify for the certificate you must submit the capstone project and complete the required peer reviews while a live cohort is still accepting them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"Do I need to do all homework to get the course certificate, or is the final project enough?","Homework is **not required** for the certificate.

To get the course certificate, you need to:
- finish the course with a **live cohort**
- complete the **capstone/final project**
- complete the **required peer reviews**

So the **final project is necessary**, and homework is optional, though recommended.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"If I go through the lessons in self-paced mode, what still has to be done during a live cohort to earn the certificate?","If you go through the lessons in self-paced mode, you still need to:

- submit a **capstone project** while a live cohort is accepting submissions, and
- complete the **required peer reviews** during that live cohort.

Homework is **not** required.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"Is the certificate available for people who never join a live cohort, or only for live cohort participants?","Only for live cohort participants. You can prepare in self-paced mode, but to get the certificate you must finish with a live cohort, including submitting the capstone and completing the required peer reviews while that cohort is accepting them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Can I prepare the capstone project on my own first and then submit it when the live cohort opens?,"Yes. You can prepare the capstone project on your own in self-paced mode, but you must submit it and do the required peer reviews while a live cohort is accepting submissions.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"If I skipped the first homework, can I still get the course certificate, or is homework required?",Yes — you can still get the course certificate. Homework is **not required**. You only need to **pass the Capstone project** and complete the required peer reviews.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Do I have to do all the homework to earn a certificate, or is the Capstone project enough?","No — homework is not required. To get the certificate, you need to complete the Capstone project and the required peer reviews.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
